#the average buffer utility for each node during the whole simulation
hostid bufferSize bufferUsedAvg bufferUtilityRatioAvg
 103 5000000.00 4923656.0000 98.4731
   8 3000000.00 2593893.0000 76.6088
  54 5000000.00 4605814.0000 83.4578
  52 5000000.00 4481453.0000 87.6195
  37 4000000.00 3201700.0000 71.0979
  32 4000000.00 3553862.0000 87.9955
  99 5000000.00 4178973.0000 83.5788
  42 4000000.00 2312683.0000 70.3666
  33 4000000.00 3311553.0000 82.2241
  61 5000000.00 4391453.0000 81.3517
  94 5000000.00 4261566.0000 85.2496
  70 5000000.00 4436346.0000 84.7808
   9 3000000.00 1729999.0000 71.9482
  39 4000000.00 3561917.0000 87.8336
  69 5000000.00 4299687.0000 89.4603
  68 5000000.00 4588841.0000 91.7503
  40 4000000.00 2625521.0000 71.1733
  93 5000000.00 4994605.0000 98.1734
  59 5000000.00 4485197.0000 89.6983
  83 5000000.00 3638023.0000 73.5059
  15 4000000.00 2946414.0000 80.3520
  60 5000000.00 3401656.0000 75.8924
  22 4000000.00 3420037.0000 83.6099
  53 5000000.00 4308535.0000 82.9448
  43 4000000.00 3605226.0000 89.1001
  20 4000000.00 2910161.0000 77.3454
  85 5000000.00 4625004.0000 90.3351
  88 5000000.00 4454124.0000 89.0263
  17 4000000.00 3858882.0000 86.6158
  80 5000000.00 4104418.0000 80.2222
  38 4000000.00 3738440.0000 92.1739
  82 5000000.00 4400674.0000 81.8501
  91 5000000.00 3379240.0000 68.2504
  35 4000000.00 3201700.0000 79.0354
  56 5000000.00 3437242.0000 70.9973
  71 5000000.00 4342504.0000 84.4178
  72 5000000.00 4625004.0000 82.6362
   7 3000000.00 1863768.0000 72.8940
  75 5000000.00 3923344.0000 84.2456
  57 5000000.00 3945398.0000 79.0523
  79 5000000.00 3506359.0000 78.4146
  30 4000000.00 3800390.0000 92.0002
  19 4000000.00 3138493.0000 83.8015
  36 4000000.00 3043066.0000 77.5339
  49 5000000.00 4577278.0000 88.4238
  74 5000000.00 4445402.0000 88.5846
  78 5000000.00 4074788.0000 85.0680
  10 3000000.00 1673166.0000 57.1057
  73 5000000.00 3905805.0000 83.2444
  67 5000000.00 4177769.0000 83.6677
  44 4000000.00 3990839.0000 91.8121
  77 5000000.00 4381183.0000 83.2227
  98 5000000.00 3776555.0000 75.5348
  62 5000000.00 3520370.0000 70.9107
  41 4000000.00 2607618.0000 65.2807
  86 5000000.00 4786716.0000 95.2552
   6 3000000.00 2441199.0000 74.8312
  51 5000000.00 3541012.0000 77.8445
  31 4000000.00 3259564.0000 80.0462
   2 3000000.00 1876783.0000 62.4844
  24 4000000.00 2880686.0000 73.1916
  34 4000000.00 3850252.0000 96.2372
  50 5000000.00 3931986.0000 78.6634
  25 4000000.00 3225166.0000 79.1655
  47 5000000.00 4557558.0000 85.8094
   0 3000000.00 2122225.0000 68.6927
  27 4000000.00 3590477.0000 83.4425
  46 5000000.00 4085112.0000 81.7022
   1 3000000.00 2068172.0000 72.0430
  90 5000000.00 4530977.0000 90.6195
  55 5000000.00 4896716.0000 97.9334
  48 5000000.00 4555828.0000 90.9124
  84 5000000.00 3913924.0000 82.9849
   5 3000000.00 1800530.0000 70.8317
  28 4000000.00 2601776.0000 76.5005
 104 5000000.00 4244376.0000 83.9161
  81 5000000.00 3554001.0000 80.1412
  14 3000000.00 2122557.0000 71.7944
  87 5000000.00 3756022.0000 81.1891
  63 5000000.00 3978330.0000 79.5852
  29 4000000.00 2791894.0000 75.9242
  11 3000000.00 1978852.0000 75.2068
 102 5000000.00 4642519.0000 89.2740
  92 5000000.00 3803991.0000 83.1289
  97 5000000.00 4436346.0000 88.7210
   4 3000000.00 1873239.0000 72.8442
  18 4000000.00 2696251.0000 69.6350
  12 3000000.00 2246929.0000 71.4632
  89 5000000.00 3850041.0000 79.4757
 101 5000000.00 4304508.0000 86.0899
  23 4000000.00 2531880.0000 74.4852
  96 5000000.00 4458927.0000 86.4212
  45 5000000.00 4214223.0000 80.6700
  64 5000000.00 4313342.0000 83.7267
  66 5000000.00 4882757.0000 91.7251
  95 5000000.00 4725720.0000 84.3557
  16 4000000.00 3096689.0000 77.3830
   3 3000000.00 1954468.0000 65.5418
  76 5000000.00 3752287.0000 81.7149
  21 4000000.00 3172637.0000 84.0579
  26 4000000.00 3208291.0000 85.5460
  13 3000000.00 1853291.0000 73.3516
  58 5000000.00 4531758.0000 90.6352
 100 5000000.00 3980874.0000 81.5997
  65 5000000.00 3845995.0000 78.1041
Avg 5000000.0 3605783.3143 81.2271

