# time  created  delivered  delivered/created
32.0000 1 0 0.0000
58.0000 2 0 0.0000
84.0000 3 0 0.0000
112.0000 4 0 0.0000
133.4000 4 1 0.2500
134.4000 4 2 0.5000
144.0000 5 2 0.4000
170.0000 6 2 0.3333
203.0000 7 2 0.2857
230.4000 7 3 0.4286
233.0000 8 3 0.3750
265.0000 9 3 0.3333
267.6000 9 4 0.4444
291.0000 10 4 0.4000
320.0000 11 4 0.3636
323.6000 11 5 0.4545
345.0000 12 5 0.4167
357.9000 12 6 0.5000
379.0000 13 6 0.4615
405.0000 14 6 0.4286
431.0000 15 6 0.4000
457.4000 15 7 0.4667
464.0000 16 7 0.4375
487.6000 16 8 0.5000
498.0000 17 8 0.4706
523.0000 18 8 0.4444
557.0000 19 8 0.4211
582.0000 20 8 0.4000
609.0000 21 8 0.3810
640.0000 22 8 0.3636
669.0000 23 8 0.3478
698.0000 24 8 0.3333
730.0000 25 8 0.3200
757.0000 26 8 0.3077
785.0000 27 8 0.2963
818.0000 28 8 0.2857
848.8000 28 9 0.3214
852.0000 29 9 0.3103
859.8000 29 10 0.3448
868.7000 29 11 0.3793
881.0000 30 11 0.3667
913.0000 31 11 0.3548
945.0000 32 11 0.3438
976.0000 33 11 0.3333
1007.0000 34 11 0.3235
1035.0000 35 11 0.3143
1060.0000 36 11 0.3056
1088.3000 36 12 0.3333
1092.0000 37 12 0.3243
1121.0000 38 12 0.3158
1154.0000 39 12 0.3077
1184.0000 40 12 0.3000
1216.0000 41 12 0.2927
1249.0000 42 12 0.2857
1281.0000 43 12 0.2791
1313.0000 44 12 0.2727
1345.0000 45 12 0.2667
1378.0000 46 12 0.2609
1411.0000 47 12 0.2553
1424.9000 47 13 0.2766
1437.0000 48 13 0.2708
1465.0000 49 13 0.2653
1498.0000 50 13 0.2600
1528.0000 51 13 0.2549
1560.0000 52 13 0.2500
1586.0000 53 13 0.2453
1617.0000 54 13 0.2407
1646.0000 55 13 0.2364
1677.0000 56 13 0.2321
1707.0000 57 13 0.2281
1739.0000 58 13 0.2241
1769.0000 59 13 0.2203
